Last Name,First Name,Team,SPG
Nurse,Darnell,EDM,18920.45
Tarasenko,Vladimir,STL,97560.98
Cehlarik,Peter,BOS,62954.55
Staal,Eric,MIN,42682.93
Ferland,Micheal,CGY,11842.11
Farnham,Bobby,MTL,191666.67
Andreoff,Andy,L.A,16666.67
Weegar,Mackenzie,FLA,235000.00
Forsbacka Karlsson,Jakob,BOS,900000.00
Nash,Rick,NYR,119402.99
Stone,Michael,ARI/CGY,62500.00
Ness,Aaron,WSH,287500.00
Karlsson,Melker,S.J,27611.94
Schlemko,David,S.J,40322.58
Baptiste,Nicholas,BUF,52857.14
Kalinin,Sergey,N.J,18604.65
Point,Brayden,T.B,9816.18
Pouliot,Benoit,EDM,59701.49
Vey,Linden,CGY,175000.00
Karlsson,Erik,OTT,90909.09
Vatanen,Sami,ANA,70422.54
Kessel,Phil,PIT,109756.10
Scherbak,Nikita,MTL,308333.33
Rask,Victor,CAR,48780.49
Bjorkstrand,Oliver,CBJ,23076.92
Bellemare,Pierre-Edouard,PHI,8841.46
Erne,Adam,T.B,35576.92
Vatrano,Frank,BOS,18011.36
Faksa,Radek,DAL,10406.25
Komarov,Leo,TOR,35975.61
Kucherov,Nikita,T.B,57432.43
Sanford,Zach,STL/WSH,22435.90
Griffith,Seth,FLA/TOR,26041.67
Tolchinsky,Sergey,CAR,287500.00
Kampfer,Steven,FLA/NYR,56818.18
Read,Matt,PHI,63492.06
Nelson,Brock,NYI,30864.20
Glendening,Luke,DET,9121.62
Nemeth,Patrik,DAL,22500.00
Lander,Anton,EDM,47727.27
Spooner,Ryan,BOS,14102.56
Virtanen,Jake,VAN,92500.00
McCormick,Max,OTT,92857.14
Eakin,Cody,DAL,64166.67
Parise,Zach,MIN,130434.78
Boeser,Brock,VAN,102777.78
Varone,Phil,OTT,100000.00
Hannikainen,Markus,CBJ,74250.00
Dano,Marko,WPG,24342.11
Nyquist,Gustav,DET,55921.05
Simon,Dominik,PIT,333750.00
Backes,David,BOS,108108.11
Goodrow,Barclay,S.J,211666.67
Ennis,Tyler,BUF,71568.63
Couturier,Sean,PHI,56818.18
Gaborik,Marian,L.A,108482.14
Connauton,Kevin,ARI,39583.33
Kempe,Adrian,L.A,37000.00
Engelland,Deryk,CGY,33950.62
